date,xi_bear_p1,xi_bull_p1,xi_bear_p2,xi_bull_p2,bear_p1,bear_p2,bear_mst,adbear
1997-02,1.4750524723490666e-59,1.0,0.9999999996071105,3.9288941140288315e-10,0,1,0,-1.000084495
1997-03,5.768715454716635e-25,1.0,3.139569283044784e-05,0.9999686043071696,0,0,0,-0.450805389
1997-04,3.520789339696547e-16,0.9999999999999997,1.2965243368155162e-09,0.9999999987034757,0,0,1,1.580567145
1997-05,0.9999999956089771,4.3910228741869895e-09,2.771035900726671e-15,0.9999999999999973,1,0,0,-1.349086765
1997-06,0.9999999999998733,1.2657237109232368e-13,5.465109008984983e-20,1.0,1,0,0,-0.98903819
1997-07,0.9999999999816314,1.8368618443164944e-11,1.9569490061099198e-19,1.0,1,0,0,-1.366537952
1997-08,1.0692078733104767e-22,1.0,1.4332911264001975e-12,0.9999999999985667,0,0,0,-1.328937377
1997-09,0.9999895029607074,1.0497039292581346e-05,5.0236019633117525e-19,1.0,1,0,1,0.235281952
1997-10,3.5948830657533916e-13,0.9999999999996405,0.9998684629879064,0.00013153701209358805,0,1,0,-1.129247348
1997-11,4.6137882841455445e-21,1.0,0.99999999939714,6.028600443583587e-10,0,1,1,1.354353123
1997-12,8.750054572901924e-26,1.0,0.999999999743538,2.5646199224552817e-10,0,1,0,-1.078371737
1998-01,8.876754570844487e-20,1.0,0.9886673219220885,0.01133267807791151,0,1,0,-0.199858682
1998-02,4.8851126452417195e-09,0.9999999951148874,2.6313226466132142e-11,0.9999999999736868,0,0,0,-0.97526715
1998-03,6.263277820501372e-11,0.9999999999373672,1.7479137276481262e-16,0.9999999999999998,0,0,0,-1.255720105
1998-04,1.1008475687876842e-18,1.0,5.368606245187104e-05,0.9999463139375482,0,0,0,-1.265973273
1998-05,0.9999999999999385,6.146267006483823e-14,3.482571716461357e-06,0.9999965174282835,1,0,0,-0.107210456
1998-06,4.598729418184009e-24,1.0,0.9999999999074181,9.258193356767569e-11,0,1,0,-0.248514691
1998-07,4.926124137412407e-34,1.0,0.0004588381234955544,0.9995411618765044,0,0,0,-1.375496868
1998-08,4.072092300651013e-53,1.0,1.0,5.955735726112777e-26,0,1,1,1.745438182
1998-09,5.462291727376954e-146,1.0,1.0,2.8831055004825733e-48,0,1,1,2.276441095
1998-10,5.817244370528686e-63,1.0,1.0,5.3084032193138294e-55,0,1,1,0.263145576
1998-11,4.5741407166621176e-68,1.0,0.9999999968112218,3.1887782277300477e-09,0,1,0,-1.534139982
1998-12,1.6252979898355914e-29,1.0,0.9904893033928491,0.009510696607150903,0,1,0,-0.62399381
1999-01,2.174950635572923e-50,1.0,1.0,2.485008655626381e-19,0,1,0,-1.394165909
1999-02,8.902228212245409e-15,0.9999999999999911,8.15398358897188e-08,0.9999999184601641,0,0,0,-0.19136
1999-03,6.521939001685262e-265,1.0,1.0,1.610118253033055e-94,0,1,0,-0.207778337
1999-04,1.1043820504725269e-138,1.0,1.0,4.541986633013647e-53,0,1,0,-1.292770609
1999-05,0.9999999999999997,3.119149124122948e-16,0.9981324037484725,0.0018675962515275618,1,1,0,-0.26509319
1999-06,2.6147435897898972e-23,1.0,0.9999999998699579,1.3004200861600703e-10,0,1,0,-0.13838711
1999-07,3.2541903895901375e-06,0.9999967458096105,1.8090650191586039e-10,0.9999999998190936,0,0,0,-1.343109612
1999-08,2.1965360114475365e-26,1.0,6.054252660892248e-05,0.9999394574733911,0,0,1,1.32045981
1999-09,6.501247103420001e-23,1.0,1.0,3.6054061786755545e-17,0,1,0,-0.416334045
1999-10,3.728409988139975e-52,1.0,1.0,2.115147203224559e-31,0,1,0,0.123488429
1999-11,1.8535912281153763e-97,1.0,1.0,7.443306753247398e-37,0,1,0,-0.446478048
1999-12,1.0203379361362504e-107,1.0,1.0,5.369664564151932e-92,0,1,0,-1.028919705
2000-01,1.4398509212936515e-70,1.0,1.0,1.1660090258854152e-22,0,1,1,0.270679955
2000-02,1.0,2.116864565436778e-74,1.0,1.1738630602241738e-95,1,1,1,0.17048275
2000-03,6.357715189697115e-284,1.0,1.0,3.8510264589146754e-171,0,1,1,0.21490775
2000-04,1.0,1.0161725853292476e-58,1.0,3.5081828360960333e-100,1,1,0,-0.9493747
2000-05,1.0,3.577753135152122e-113,1.0,1.6840377514827782e-68,1,1,1,1.349633632
