,xi_bear
1997-02-28,1.4750524723490666e-59
1997-03-31,5.768715454716635e-25
1997-04-30,3.520789339696547e-16
1997-05-31,0.9999999956089771
1997-06-30,0.9999999999998733
1997-07-31,0.9999999999816314
1997-08-31,1.0692078733104767e-22
1997-09-30,0.9999895029607074
1997-10-31,3.5948830657533916e-13
1997-11-30,4.6137882841455445e-21
1997-12-31,8.750054572901924e-26
1998-01-31,8.876754570844487e-20
1998-02-28,4.8851126452417195e-09
1998-03-31,6.263277820501372e-11
1998-04-30,1.1008475687876842e-18
1998-05-31,0.9999999999999385
1998-06-30,4.598729418184009e-24
1998-07-31,4.926124137412407e-34
1998-08-31,4.072092300651013e-53
1998-09-30,5.462291727376954e-146
1998-10-31,5.817244370528686e-63
1998-11-30,4.5741407166621176e-68
1998-12-31,1.6252979898355914e-29
1999-01-31,2.174950635572923e-50
1999-02-28,8.902228212245409e-15
1999-03-31,6.521939001685262e-265
1999-04-30,1.1043820504725269e-138
1999-05-31,0.9999999999999997
1999-06-30,2.6147435897898972e-23
1999-07-31,3.2541903895901375e-06
1999-08-31,2.1965360114475365e-26
1999-09-30,6.501247103420001e-23
1999-10-31,3.728409988139975e-52
1999-11-30,1.8535912281153763e-97
1999-12-31,1.0203379361362504e-107
2000-01-31,1.4398509212936515e-70
2000-02-29,1.0
2000-03-31,6.357715189697115e-284
2000-04-30,1.0
2000-05-31,1.0
2000-06-30,6.264868378903605e-104
2000-07-31,8.533833056241687e-54
2000-08-31,1.0953372548236425e-143
2000-09-30,3.101882761997767e-66
2000-10-31,6.437438636792709e-94
2000-11-30,2.3795087838638655e-120
2000-12-31,4.36444886170425e-258
2001-01-31,7.511193903687533e-216
2001-02-28,4.4557048671071444e-120
2001-03-31,6.60609238336587e-71
2001-04-30,1.0228093601553033e-47
2001-05-31,1.4983190436846772e-102
2001-06-30,3.0398038990203005e-14
2001-07-31,3.3090652644100566e-29
2001-08-31,0.9999999986071976
2001-09-30,1.0
2001-10-31,1.0
2001-11-30,2.385748875786108e-38
2001-12-31,7.812893371807978e-70
2002-01-31,9.84172179560338e-11
2002-02-28,5.978971197298327e-10
2002-03-31,3.1638053046128173e-63
2002-04-30,1.3957799343081363e-83
2002-05-31,7.981544690004005e-35
2002-06-30,2.4257184986973783e-62
2002-07-31,8.84730084824017e-149
2002-08-31,3.0283930838166043e-37
2002-09-30,1.1363433022288116e-143
2002-10-31,4.388854738938079e-34
2002-11-30,1.2262019386129073e-181
2002-12-31,4.883728645073014e-29
2003-01-31,2.619797344815146e-37
2003-02-28,1.9743177269664206e-60
2003-03-31,3.9518001497873746e-56
2003-04-30,3.0475690000284383e-41
2003-05-31,3.1378942110521453e-44
2003-06-30,0.9999205145056197
2003-07-31,6.649147608194263e-40
2003-08-31,6.708943204191523e-12
2003-09-30,1.3885947053280716e-09
2003-10-31,2.1006629817682356e-26
2003-11-30,0.00020561444597656876
2003-12-31,5.633010710992207e-42
2004-01-31,1.5428836778960134e-18
2004-02-29,0.9999873759284412
2004-03-31,4.732311611270505e-13
2004-04-30,6.791892757440503e-89
2004-05-31,5.35318878872956e-26
2004-06-30,2.5420227968683184e-18
2004-07-31,0.0021314572561669624
2004-08-31,2.9498874630154667e-06
2004-09-30,2.792275312333479e-13
2004-10-31,0.9999999999995466
2004-11-30,1.0
2004-12-31,0.9999999999981654
2005-01-31,0.9999999944120914
2005-02-28,3.781486108760193e-53
2005-03-31,1.9766516945924697e-29
2005-04-30,5.626653826088484e-17
2005-05-31,2.487433465247609e-06
2005-06-30,4.225095442877525e-25
2005-07-31,7.0468113627234684e-09
2005-08-31,1.105374324992228e-30
2005-09-30,1.4750309417462811e-16
2005-10-31,7.805504110073983e-28
2005-11-30,2.763076325432369e-26
2005-12-31,0.9999999311935845
2006-01-31,0.999999999998668
2006-02-28,3.435526759747452e-10
2006-03-31,3.2376720406648963e-18
2006-04-30,1.5998566294582483e-22
2006-05-31,0.9999999996653323
2006-06-30,0.9999999999998656
2006-07-31,4.363657187513701e-25
2006-08-31,8.94444708763328e-19
2006-09-30,0.9999999997238374
2006-10-31,6.094716078002937e-24
2006-11-30,1.026402286817392e-17
2006-12-31,1.791514777882893e-13
2007-01-31,1.2620183190684827e-09
2007-02-28,0.9999999999234847
