date,xi_bear_p1,xi_bull_p1,xi_bear_p2,xi_bull_p2,bear_p1,bear_p2,bear_mst,adbear
1997-02,0.9999998378787064,1.621212935691065e-07,3.1836962731108984e-20,1.0,1,0,0,-1.000084495
1997-03,2.5284895227735208e-08,0.9999999747151048,3.845757345492358e-20,1.0,0,0,0,-0.450805389
1997-04,3.8312130153714076e-17,1.0,1.2012042378646434e-15,0.9999999999999988,0,0,1,1.580567145
1997-05,3.0022704350623243e-12,0.9999999999969977,1.0,9.411467875735434e-19,0,1,0,-1.349086765
1997-06,3.824749955696967e-13,0.9999999999996175,1.1729286743074868e-14,0.9999999999999883,0,0,0,-0.98903819
1997-07,9.332966193857385e-14,0.9999999999999067,2.1547668941133212e-07,0.9999997845233106,0,0,0,-1.366537952
1997-08,3.857164387368638e-24,1.0,2.0361668955361412e-26,1.0,0,0,0,-1.328937377
1997-09,2.094225277586561e-21,1.0,2.1398053594549652e-14,0.9999999999999786,0,0,0,0.235281952
1997-10,3.1558845366441215e-05,0.9999684411546336,3.037986184425007e-13,0.9999999999996962,0,0,0,-1.129247348
1997-11,1.5281592527898601e-15,0.9999999999999984,7.124379083179251e-25,1.0,0,0,1,1.354353123
1997-12,4.047129659643945e-09,0.9999999959528704,9.213246740746441e-10,0.9999999990786753,0,0,0,-1.078371737
1998-01,6.732783876831923e-17,0.9999999999999999,1.49973255006438e-08,0.9999999850026745,0,0,0,-0.199858682
1998-02,5.690986225983064e-16,0.9999999999999994,1.924955402425556e-16,0.9999999999999998,0,0,0,-0.97526715
1998-03,3.887693029875811e-12,0.9999999999961123,7.094666164900371e-21,1.0,0,0,0,-1.255720105
1998-04,1.8329627346533468e-16,0.9999999999999998,4.707821899001871e-13,0.9999999999995293,0,0,0,-1.265973273
1998-05,2.9327669666029473e-30,1.0,1.3029476339800357e-14,0.9999999999999869,0,0,0,-0.107210456
1998-06,5.188732725558927e-20,1.0,1.0,1.4295172926323403e-19,0,1,0,-0.248514691
1998-07,3.554567768373248e-17,1.0,1.0,1.2382481755511376e-27,0,1,0,-1.375496868
1998-08,2.0056354191861128e-60,1.0,1.0,3.384518892581851e-32,0,1,1,1.745438182
1998-09,1.0,7.70203874418479e-31,1.0,5.9568409686121165e-34,1,1,1,2.276441095
1998-10,0.9999999999999998,1.8775087316991484e-16,0.9999999999996226,3.773382154367804e-13,1,1,0,0.263145576
1998-11,9.692494499517749e-18,1.0,1.0,1.876021750745658e-26,0,1,0,-1.534139982
1998-12,5.748621188096426e-16,0.9999999999999994,1.0,5.657397083150435e-29,0,1,0,-0.62399381
1999-01,2.7308045767730524e-43,1.0,1.0,3.935497740837924e-136,0,1,0,-1.394165909
1999-02,7.363813558735029e-25,1.0,1.0,1.2537779334004421e-29,0,1,0,-0.19136
1999-03,5.0641336822806e-43,1.0,1.0,2.9760061037817094e-50,0,1,0,-0.207778337
1999-04,1.0,1.2351733181981708e-154,1.0,2.2087210349072505e-112,1,1,0,-1.292770609
1999-05,0.9999999999987881,1.2119749663609174e-12,0.9999953107907545,4.689209245511319e-06,1,1,0,-0.26509319
1999-06,1.0,2.7175912448470056e-38,1.0,1.062482913034946e-32,1,1,0,-0.13838711
1999-07,4.177006390230227e-16,0.9999999999999996,4.6803384128300144e-05,0.9999531966158717,0,0,0,-1.343109612
1999-08,3.9350135235617145e-10,0.9999999996064985,0.9999999977705925,2.229407536548464e-09,0,1,1,1.32045981
1999-09,1.5929626636395603e-15,0.9999999999999983,1.0,8.577286388113614e-20,0,1,0,-0.416334045
1999-10,7.062182675281517e-39,1.0,1.0,4.658541907356933e-36,0,1,0,0.123488429
1999-11,5.687621908846505e-10,0.9999999994312377,1.0,1.298154410937102e-66,0,1,0,-0.446478048
1999-12,2.43082956558327e-118,1.0,1.0,1.664532699328181e-284,0,1,0,-1.028919705
2000-01,1.1342684377158971e-81,1.0,1.0,1.8424769539101786e-159,0,1,0,0.270679955
2000-02,1.0,0.0,1.0,0.0,1,1,0,0.17048275
2000-03,1.0,1.94937135703438e-309,1.0,0.0,1,1,0,0.21490775
2000-04,1.0,9.674175123519003e-149,1.0,1.692537105886262e-203,1,1,0,-0.9493747
2000-05,1.0,1.9036041552118873e-49,1.0,3.844513218778473e-79,1,1,1,1.349633632
2000-06,1.0,1.0924762214967097e-298,1.0,0.0,1,1,0,-0.567697182
2000-07,1.0,1.9355722510186213e-52,1.0,3.637132182000708e-60,1,1,0,-0.584421671
2000-08,1.0,8.34660830045806e-23,1.0,1.869995339296133e-45,1,1,0,0.1311322
2000-09,1.0,1.416476974863602e-76,1.0,1.226833467190101e-63,1,1,0,-1.237230787
2000-10,1.0,2.0530370633375917e-105,1.0,2.61266112074526e-91,1,1,1,0.772994125
2000-11,1.0,6.376170361121154e-145,1.0,1.7368600907885545e-156,1,1,1,0.401725057
2000-12,1.0,3.996874291955516e-77,1.0,8.395053566645854e-269,1,1,0,-0.7492395
2001-01,1.0,2.0509872479051108e-163,1.0,9.11742813199745e-203,1,1,1,0.517719
2001-02,1.0,3.812256488818789e-80,1.0,2.543998760350749e-104,1,1,0,-1.347084857
2001-03,2.158382915540255e-18,1.0,1.0,2.9682527128444932e-34,0,1,1,1.752751632
