Date,ADBearRF_End_of_Month,ADBearRF_Average_within_the_Month
31/01/1997,-1.8776,-1.000084495
28/02/1997,-2.56106,-0.450805389
31/03/1997,-2.61366,1.580567145
30/04/1997,-2.19605,-1.349086765
30/05/1997,-2.219,-0.98903819
30/06/1997,-3.28033,-1.366537952
31/07/1997,-2.19016,-1.328937377
29/08/1997,-2.93528,0.235281952
30/09/1997,-3.17833,-1.129247348
31/10/1997,-0.956102,1.354353123
28/11/1997,-2.95265,-1.078371737
31/12/1997,0.814061,-0.199858682
30/01/1998,-2.71958,-0.97526715
27/02/1998,-1.66961,-1.255720105
31/03/1998,-2.04815,-1.265973273
30/04/1998,1.70331,-0.107210456
29/05/1998,-2.74369,-0.248514691
30/06/1998,-3.31464,-1.375496868
31/07/1998,1.27261,1.745438182
31/08/1998,-2.94164,2.276441095
30/09/1998,2.70885,0.263145576
30/10/1998,-2.61772,-1.534139982
30/11/1998,-2.57629,-0.62399381
31/12/1998,-3.05466,-1.394165909
29/01/1999,2.97234,-0.19136
26/02/1999,-2.75505,-0.207778337
31/03/1999,-3.2113,-1.292770609
30/04/1999,-1.76234,-0.26509319
28/05/1999,-3.00658,-0.13838711
30/06/1999,-2.73284,-1.343109612
30/07/1999,0.576566,1.32045981
31/08/1999,-2.49199,-0.416334045
30/09/1999,-2.87095,0.123488429
29/10/1999,-1.62948,-0.446478048
30/11/1999,-2.23606,-1.028919705
31/12/1999,-0.255033,0.270679955
31/01/2000,-2.49641,0.17048275
29/02/2000,-0.349744,0.21490775
31/03/2000,-1.77106,-0.9493747
28/04/2000,0.919358,1.349633632
31/05/2000,-3.19334,-0.567697182
30/06/2000,-2.37954,-0.584421671
31/07/2000,-3.12829,0.1311322
31/08/2000,1.52727,-1.237230787
29/09/2000,1.61412,0.772994125
31/10/2000,-0.837117,0.401725057
30/11/2000,-2.58989,-0.7492395
29/12/2000,0.272121,0.517719
31/01/2001,-0.130152,-1.347084857
28/02/2001,-2.78049,1.752751632
30/03/2001,1.4467,1.926803005
30/04/2001,-1.48665,-1.7930606
31/05/2001,-2.88245,-0.454379426
29/06/2001,5.28101,0.545855238
31/07/2001,-1.17095,-0.43256075
31/08/2001,3.75437,1.811733343
28/09/2001,-2.04956,1.611165714
31/10/2001,-3.19515,-0.709750526
30/11/2001,-2.16296,-1.280696429
31/12/2001,-2.2627,-0.92518205
31/01/2002,11.2425,1.105036667
28/02/2002,-2.84146,-1.101581167
28/03/2002,2.49522,-0.118392255
30/04/2002,3.2222,1.467970448
31/05/2002,5.87779,0.898940136
28/06/2002,-0.152791,1.11762738
31/07/2002,3.27342,2.57741485
30/08/2002,0.270491,0.152333727
30/09/2002,1.49138,0.664938815
31/10/2002,-2.09332,-1.355122136
29/11/2002,1.05703,-0.48653282
31/12/2002,-3.13759,-0.545205748
31/01/2003,1.25612,1.204749286
28/02/2003,0.179489,-0.47932738
31/03/2003,-2.8493,-0.980384171
30/04/2003,-2.48908,-1.761293429
30/05/2003,-2.29057,-1.14492281
30/06/2003,-3.02697,-0.655506381
31/07/2003,0.222502,0.130300864
29/08/2003,-2.69364,-1.474740857
30/09/2003,-3.15436,0.139941048
31/10/2003,-0.845017,-1.098159891
28/11/2003,-1.39548,-0.709212684
31/12/2003,-2.588,-1.652516636
30/01/2004,-0.790273,-0.37689325
27/02/2004,-2.31364,-1.204279826
31/03/2004,-2.57658,0.387453652
30/04/2004,0.345536,0.683830143
28/05/2004,-3.00854,-0.737549475
30/06/2004,6.70706,-0.31930911
