date,d_D,d_S,adbear
1997-02,0.0,1.0,-1.000084495
1997-03,0.0,1.0,-0.450805389
1997-04,1.0,0.0,1.580567145
1997-05,0.0,1.0,-1.349086765
1997-06,0.0,1.0,-0.98903819
1997-07,0.0,1.0,-1.366537952
1997-08,0.0,1.0,-1.328937377
1997-09,1.0,0.0,0.235281952
1997-10,0.0,1.0,-1.129247348
1997-11,1.0,0.0,1.354353123
1997-12,0.0,1.0,-1.078371737
1998-01,0.0,1.0,-0.199858682
1998-02,0.0,1.0,-0.97526715
1998-03,0.0,1.0,-1.255720105
1998-04,0.0,1.0,-1.265973273
1998-05,0.0,1.0,-0.107210456
1998-06,0.0,1.0,-0.248514691
1998-07,0.0,1.0,-1.375496868
1998-08,1.0,0.0,1.745438182
1998-09,1.0,0.0,2.276441095
1998-10,1.0,0.0,0.263145576
1998-11,0.0,1.0,-1.534139982
1998-12,0.0,1.0,-0.62399381
1999-01,0.0,1.0,-1.394165909
1999-02,0.0,1.0,-0.19136
1999-03,0.0,1.0,-0.207778337
1999-04,0.0,1.0,-1.292770609
1999-05,0.0,1.0,-0.26509319
1999-06,0.0,1.0,-0.13838711
1999-07,0.0,1.0,-1.343109612
1999-08,1.0,0.0,1.32045981
1999-09,0.0,1.0,-0.416334045
1999-10,0.0,1.0,0.123488429
1999-11,0.0,1.0,-0.446478048
1999-12,0.0,1.0,-1.028919705
2000-01,1.0,0.0,0.270679955
2000-02,1.0,0.0,0.17048275
2000-03,1.0,0.0,0.21490775
2000-04,0.0,1.0,-0.9493747
2000-05,1.0,0.0,1.349633632
2000-06,0.0,1.0,-0.567697182
2000-07,0.0,1.0,-0.584421671
2000-08,1.0,0.0,0.1311322
2000-09,0.0,1.0,-1.237230787
2000-10,1.0,0.0,0.772994125
2000-11,1.0,0.0,0.401725057
2000-12,0.0,1.0,-0.7492395
2001-01,1.0,0.0,0.517719
2001-02,0.0,1.0,-1.347084857
2001-03,1.0,0.0,1.752751632
2001-04,1.0,0.0,1.926803005
2001-05,0.0,1.0,-1.7930606
2001-06,0.0,1.0,-0.454379426
2001-07,1.0,0.0,0.545855238
2001-08,0.0,1.0,-0.43256075
2001-09,1.0,0.0,1.811733343
2001-10,1.0,0.0,1.611165714
2001-11,0.0,1.0,-0.709750526
2001-12,0.0,1.0,-1.280696429
2002-01,0.0,1.0,-0.92518205
2002-02,1.0,0.0,1.105036667
2002-03,0.0,1.0,-1.101581167
2002-04,0.0,1.0,-0.118392255
2002-05,1.0,0.0,1.467970448
2002-06,1.0,0.0,0.898940136
2002-07,1.0,0.0,1.11762738
2002-08,1.0,0.0,2.57741485
2002-09,1.0,0.0,0.152333727
2002-10,1.0,0.0,0.664938815
2002-11,0.0,1.0,-1.355122136
2002-12,0.0,1.0,-0.48653282
2003-01,0.0,1.0,-0.545205748
2003-02,1.0,0.0,1.204749286
2003-03,0.0,1.0,-0.47932738
2003-04,0.0,1.0,-0.980384171
2003-05,0.0,1.0,-1.761293429
2003-06,0.0,1.0,-1.14492281
