Date,RmRf,USRECM,Delta_LN_IP,VIXCLS,VXOCLS,EPU_3_Comp,Overall EMV Tracker,Policy-Related EMV Tracker,Geopolitical Risk Index,TEDRATE,US Disaster Probability,T10Y2Y
199701,4.99,0,0.001416559,19.47,20.82,74.9683075,21.0498,10.75,23.70172835,0.54,0.03,0.657
199702,-0.49,0,0.012024777,21.1,23.46,87.69728851,19.481,9.09,29.36078527,0.45,0.05,0.563
199703,-5.03,0,0.006673805,22.14,24.99,75.01231384,22.9562,11.01,37.48794609,0.54,0.04,0.548
199704,4.04,0,0.000234807,20.06,21.19,75.4542923,23.8621,11.6,29.1510199,0.68,0.03,0.521
199705,6.74,0,0.00583643,19.19,22.12,73.45812988,17.6622,8.73,30.95382065,0.99,0.03,0.532
199706,4.1,0,0.004866587,21.53,23.34,78.48297882,20.7161,10.08,28.87982996,0.84,0.04,0.511
199707,7.33,0,0.007598583,21.48,23.75,73.89486694,20.1744,9.21,27.85157207,0.6,0.05,0.377
199708,-4.15,0,0.010394079,24.76,27.94,63.8098793,20.9497,9.97,30.113894,0.62,0.07,0.477
199709,5.35,0,0.008843811,22.91,24.3,61.15956116,19.0894,9.05,25.51612092,0.84,0.07,0.407
199710,-3.8,0,0.008566754,35.09,34.46,83.65215302,32.7025,14.15,26.92471887,0.68,0.15,0.345
199711,2.98,0,0.008740702,27.43,27.31,78.39389038,28.9908,12.76,73.08650023,0.82,0.14,0.166
199712,1.32,0,0.003078813,24.01,24.89,88.74448395,25.8091,11.96,34.37229014,0.59,0.08,0.173
199801,0.15,0,0.005122309,21.47,21.7,91.04062653,32.1575,13.3,54.36107496,0.57,0.09,0.265
199802,7.04,0,0.001312507,18.55,19.43,88.81943512,20.0263,9.46,154.6133557,0.5,0.06,0.162
199803,4.76,0,0.000675189,24.22,24.25,78.38832092,17.9403,8.31,43.16603346,0.69,0.08,0.209
199804,0.73,0,0.003693938,21.18,21.59,73.20014191,22.2622,10.17,32.70567255,0.85,0.08,0.224
199805,-3.07,0,0.006338522,21.32,22.89,75.85511017,22.9888,12.04,61.35873381,0.8,0.08,0.149
199806,3.18,0,-0.006293768,19.71,19.86,76.28634644,24.2027,10.6,52.45478447,0.75,0.07,0.058
199807,-2.46,0,-0.003479568,24.8,26.27,88.17700958,27.6376,11.61,33.61905161,0.72,0.09,0.078
199808,-16.08,0,0.02031677,44.28,48.33,101.4080811,39.7531,17.12,75.59336517,0.84,0.3,0.302
199809,6.15,0,-0.001956221,40.95,41.94,123.9614716,50.1519,22.95,61.38840407,1.05,0.28,0.306
199810,7.13,0,0.008064487,28.05,26.56,109.8813477,43.7855,19.64,72.3417335,0.99,0.17,0.619
199811,6.1,0,-0.000649549,26.01,25,92.94631958,34.8591,14.73,81.06707371,0.86,0.15,0.351
199812,6.16,0,0.003706519,24.42,25.41,91.40618134,25.6414,12.58,85.08470968,0.7,0.14,0.306
199901,3.5,0,0.004670391,26.25,26.53,98.64504242,34.0182,17.68,45.53858843,0.6,0.15,0.287
199902,-4.08,0,0.005318607,27.88,29.52,82.3835907,21.4388,10.09,48.433995,0.48,0.14,0.368
199903,3.45,0,0.001584998,23.26,24.45,66.00053406,22.8771,11.61,63.58321151,0.63,0.12,0.54
199904,4.33,0,0.002709576,25.07,26.07,67.53295135,21.4323,9.43,64.46939989,0.56,0.12,0.49
199905,-2.46,0,0.00686077,25.39,26.38,67.08853149,19.4834,9.65,50.49053854,0.54,0.15,0.43
199906,4.77,0,-0.001671858,21.09,21.01,73.01111603,20.6015,9.45,39.43227632,0.72,0.1,0.482
199907,-3.49,0,0.006309045,24.64,25.83,79.81311798,23.3921,11.12,49.81319544,0.72,0.15,0.508
199908,-1.38,0,0.0042003,24.45,25.24,69.55317688,26.1307,12.48,44.51952872,0.68,0.13,0.467
199909,-2.79,0,-0.00422863,25.41,26.89,69.81623077,22.0963,10.56,60.63191821,1.34,0.14,0.513
199910,6.12,0,0.013247879,22.2,22.56,62.71154785,25.3247,12.41,42.22501844,1.21,0.12,0.41
199911,3.37,0,0.00471157,24.18,24.95,82.06382751,19.4461,9.26,35.79328199,0.96,0.1,0.349
199912,7.72,0,0.007699546,24.64,26.71,83.80947113,17.2369,8.5,62.048155,0.93,0.09,0.347
200001,-4.74,0,0.00017522,24.95,26.2,89.20153809,24.4129,12.52,40.63480551,0.55,0.1,0.075
200002,2.45,0,0.002967693,23.37,25.59,77.60139465,19.9134,10.17,34.39116172,0.49,0.09,-0.017
200003,5.2,0,0.00361737,24.11,27.21,77.54830933,26.1047,11.69,54.09879264,0.57,0.09,-0.355
200004,-6.4,0,0.007176868,26.2,28.86,76.05922699,43.4291,19.54,35.76902417,0.84,0.1,-0.376
200005,-4.42,0,0.001702557,23.65,26.57,97.98620605,34.3084,18.33,34.09488716,1.38,0.09,-0.403
200006,4.64,0,0.000959354,19.54,22.26,92.96501923,24.22,12.09,44.00078024,1.06,0.06,-0.285
200007,-2.51,0,-0.001512603,20.74,23.44,79.44697571,20.3278,9.2,32.06514555,0.69,0.06,-0.242
200008,7.03,0,-0.002927161,16.84,19.28,66.58133698,18.0472,8.94,27.2085369,0.55,0.03,-0.335
200009,-5.45,0,0.003851511,20.57,23.85,75.14165497,18.5984,8.5,35.4019471,0.76,0.06,-0.054
200010,-2.76,0,-0.002951707,23.63,25.99,84.66172791,28.4683,13.19,55.45657323,0.57,0.07,-0.084
200011,-10.72,0,0.00027146,29.65,32.92,125.067543,30.6497,15.21,27.42856234,0.68,0.11,-0.096
200012,1.19,0,-0.00278728,26.85,30.23,115.2687225,34.1052,17.73,31.49881111,0.67,0.1,0.123
200101,3.13,0,-0.006457516,22.02,24.29,111.4160385,28.8612,14.33,35.44031824,0.56,0.06,0.623
200102,-10.05,0,-0.006419645,28.35,31,110.9178467,20.9482,11.05,56.16162372,0.32,0.09,0.626
200103,-7.26,1,-0.002341471,28.64,33.82,116.026947,31.1492,15,39.55668851,0.68,0.09,0.888
200104,7.94,1,-0.00291932,25.48,28.19,122.6734085,27.1624,13.57,45.28478283,0.48,0.07,1.205
200105,0.72,1,-0.00612809,22.64,25.96,100.4290161,22.1509,11.45,35.83338748,0.44,0.07,1.33
