Date,SMALL.LoBM,ME1.BM2,ME1.BM3,ME1.BM4,SMALL.HiBM,ME2.BM1,ME2.BM2,ME2.BM3,ME2.BM4,ME2.BM5,ME3.BM1,ME3.BM2,ME3.BM3,ME3.BM4,ME3.BM5,ME4.BM1,ME4.BM2,ME4.BM3,ME4.BM4,ME4.BM5,BIG.LoBM,ME5.BM2,ME5.BM3,ME5.BM4,BIG.HiBM,SMALL.LoPRIOR,ME1.PRIOR2,ME1.PRIOR3,ME1.PRIOR4,SMALL.HiPRIOR,ME2.PRIOR1,ME2.PRIOR2,ME2.PRIOR3,ME2.PRIOR4,ME2.PRIOR5,ME3.PRIOR1,ME3.PRIOR2,ME3.PRIOR3,ME3.PRIOR4,ME3.PRIOR5,ME4.PRIOR1,ME4.PRIOR2,ME4.PRIOR3,ME4.PRIOR4,ME4.PRIOR5,BIG.LoPRIOR,ME5.PRIOR2,ME5.PRIOR3,ME5.PRIOR4,BIG.HiPRIOR,Lo.10,Dec.02,Dec.03,Dec.04,Dec.05,Dec.06,Dec.07,Dec.08,Dec.09,Hi.10,Lo.10.1,Dec.02.1,Dec.03.1,Dec.04.1,Dec.05.1,Dec.06.1,Dec.07.1,Dec.08.1,Dec.09.1,Hi.10.1,Lo.PRIOR,PRIOR.2,PRIOR.3,PRIOR.4,PRIOR.5,PRIOR.6,PRIOR.7,PRIOR.8,PRIOR.9,Hi.PRIOR,SMALL.LoOP,ME1.OP2,ME1.OP3,ME1.OP4,SMALL.HiOP,ME2.OP1,ME2.OP2,ME2.OP3,ME2.OP4,ME2.OP5,ME3.OP1,ME3.OP2,ME3.OP3,ME3.OP4,ME3.OP5,ME4.OP1,ME4.OP2,ME4.OP3,ME4.OP4,ME4.OP5,BIG.LoOP,ME5.OP2,ME5.OP3,ME5.OP4,BIG.HiOP,SMALL.LoINV,ME1.INV2,ME1.INV3,ME1.INV4,SMALL.HiINV,ME2.INV1,ME2.INV2,ME2.INV3,ME2.INV4,ME2.INV5,ME3.INV1,ME3.INV2,ME3.INV3,ME3.INV4,ME3.INV5,ME4.INV1,ME4.INV2,ME4.INV3,ME4.INV4,ME4.INV5,BIG.LoINV,ME5.INV2,ME5.INV3,ME5.INV4,BIG.HiINV
199701,5.7984,4.4416,6.1329,4.5604,3.6797,3.6716,2.3261,1.4823,0.4715,1.4082,-0.0766,3.5395,0.192,2.6575,4.4632,1.8376,2.8397,3.7793,1.3503,4.6572,7.3313,4.5684,4.6855,4.8579,3.4312,6.33,6.11,4.4,3.64,4.48,2.92,0.6,1.73,1.11,2.05,4.07,3.34,1.12,0.57,1.17,0.66,1.7,2.85,2.98,4,0.46,3.71,3.39,7.11,8.57,6.05,3.55,2.62,1.85,2.79,0.62,2.74,2.38,4.42,6.38,6.74,5.98,3.42,4.81,4.74,3.11,2.88,4.38,2.91,4.98,2.63,1.6,3.98,2.71,2.62,3.57,5,7.33,5.69,8.66,5.7064,3.904,3.5223,4.7494,5.1252,1.538,3.7879,1.6207,0.486,4.1707,2.8935,1.7163,-0.0379,3.053,1.1923,1.9269,2.9637,2.978,4.1415,-0.8231,2.5233,5.0144,3.9217,6.7519,6.9149,6.9172,3.2354,3.4148,3.7773,5.4753,3.2947,2.337,1.6868,1.6857,1.9367,0.7146,2.2441,1.6634,1.2558,2.0501,3.1131,1.0765,1.6976,3.0755,3.1699,5.6879,4.9944,5.4973,5.6638,7.9264
199702,-6.4309,-5.5112,-2.5685,0.2246,0.3118,-9.7557,-3.0998,-1.1358,0.4984,2.1788,-6.6349,-2.2778,0.0354,1.1311,1.5811,-4.2147,1.1614,0.0393,2.0593,3.1806,0.4484,-2.104,-0.2117,2.3406,4.7967,-4.43,-0.45,0.48,-0.25,-2.88,-3.79,-0.24,-0.31,-0.87,-7.23,-2.46,-0.75,-0.51,1.16,-6.15,0.1,0.22,0.5,-0.03,-5.6,-0.39,1.17,0.82,1.6,-4.35,-1.8,-2.92,-4.36,-3.11,-1.97,-2.89,-0.67,-0.42,-0.5,0.33,-0.73,-0.43,-1.71,-1.78,-1.4,1.13,1.48,2.35,3.07,3.47,-3.32,-0.18,0.27,1.3,0.81,0.56,2.39,0.29,-2.61,-7.23,-3.3764,-1.7178,-0.8704,-1.503,-3.7966,-5.703,-2.1651,-2.0529,-2.7917,-3.5965,-4.0032,-1.4764,-0.7187,-2.5732,-3.0044,-0.656,0.1819,0.4462,-0.7668,-0.9572,0.1523,-1.0373,-0.52,0.2728,0.4608,-2.1904,-0.7746,-0.4723,-0.9115,-5.078,-0.394,0.0965,-2.1588,-2.3389,-7.247,-0.0492,-1.2428,0.0456,-0.1546,-6.2739,-0.922,-0.0114,4.3561,0.5536,-3.3335,0.056,0.5004,2.3511,1.148,-3.2694
199703,-10.177,-6.4941,-4.6152,-2.9177,-2.3896,-9.8691,-6.2343,-3.2936,-3.1069,-1.7158,-8.4961,-4.0496,-3.8184,-3.0907,-2.5655,-7.806,-4.3323,-3.6487,-4.9096,-4.3191,-5.9144,-1.2276,-4.4159,-6.2113,-5.9662,-8.19,-4.19,-3.38,-3.82,-5.28,-8.89,-3.87,-4.78,-3.82,-5.33,-6.9,-3.61,-4.71,-5.21,-6.19,-4.81,-5.28,-4.3,-5.4,-3.38,-4.92,-5.24,-2.74,-4.56,-6.53,-4.92,-5.36,-6.51,-5.36,-5.74,-4.65,-5.49,-5.08,-4.6,-4.88,-7.76,-4.29,-4.31,-0.3,-3.83,-4.63,-5.24,-5.38,-4.42,-4.24,-8.05,-4.59,-4.05,-5.65,-3.26,-3.06,-5.45,-3.85,-6.72,-5,-6.8535,-4.4119,-3.1047,-3.5703,-3.185,-8.2836,-4.7264,-4.4936,-3.9282,-5.2194,-7.3463,-3.2488,-4.2283,-5.5977,-4.9454,-8.1531,-6.3271,-4.8048,-4.9196,-4.496,-3.8876,-3.7671,-1.9312,-4.5194,-6.1986,-5.6586,-3.3658,-2.689,-3.4215,-7.6376,-6.2593,-2.5869,-4.2474,-4.0029,-7.6833,-4.105,-1.8781,-2.8138,-4.5556,-8.0509,-4.0584,-3.069,-4.4006,-5.6408,-7.7601,-5.0522,-2.6526,-6.1666,-4.6129,-5.4371
199704,-5.8786,-4.4291,-3.496,-1.8723,-2.9436,-4.5438,-0.7833,-0.5442,1.6363,-0.1833,-2.0276,2.0854,3.4353,2.9741,0.525,1.7032,2.166,1.712,2.6568,1.5484,7.5355,2.0044,5.7821,4.4879,1.007,-6.15,-4.44,-2.32,-2.52,-2.67,-3.3,-2.77,1.26,-1.21,-1.01,-0.51,1.97,0.39,-0.61,1.22,-2.84,0.46,2.38,2.27,3.08,3.57,0.59,2.61,7.37,8.92,-3.48,-4.38,-1.66,-0.91,0.51,1.89,1.85,1.5,2.66,6.26,7.18,5.03,1.67,1.93,5.19,3.31,2.39,4.47,0.7,-0.33,-3.13,1.1,-0.6,1.09,2.19,2.46,5.52,6.42,6.53,8.51,-5.0833,-2.9031,-2.691,-1.9724,-3.1118,-4.2202,0.332,0.5214,0.9483,-2.0757,0.6616,1.2,1.0508,2.9662,-0.44,-1.6913,-0.288,2.5916,3.2207,2.9065,1.6528,3.3695,3.3456,6.3851,6.5729,-4.2494,-3.1626,-2.4937,-4.012,-4.1382,-2.3504,-0.6233,0.1162,0.5938,-2.8606,-0.1574,2.0001,2.7212,2.428,-0.111,2.5778,0.7033,1.683,1.5682,3.2333,4.9857,2.0864,5.9067,7.5792,6.605
199705,12.3148,10.6059,10.5149,8.2093,7.5564,16.9014,14.3986,9.3281,8.5905,8.1048,14.6502,10.4286,7.3103,6.6633,7.1173,9.0851,7.2572,4.8401,6.8208,6.8148,5.6606,6.6525,5.4755,3.9932,6.1391,12.58,8.22,7.9,9.26,7.85,20.2,13.68,8.34,11.21,13.18,16.85,9.46,7.82,8.73,9.51,10.34,6.86,6.01,5.47,7.42,13.19,7.29,5.53,5.77,4.41,7.43,10.47,12.55,11.72,11.18,9.28,8.26,7.18,6.9,5.44,7.68,5,8.78,6.08,6.63,4.9,5.47,5.09,7.48,5.38,16.93,11.84,10.34,5.91,5.64,6.19,5.32,6.52,4.84,5.65,9.4346,9.8503,8.5649,9.0555,9.9647,13.8982,9.8234,10.6491,12.4512,12.5751,12.9555,10.9144,9.0562,7.7662,9.973,6.6804,8.112,5.931,7.268,9.2319,7.9884,5.9354,5.6392,5.4827,5.543,9.0512,7.7011,8.0984,8.5901,11.8963,11.0736,8.984,8.6545,10.8208,15.7459,8.3906,7.2182,8.3416,9.5669,13.1448,8.0407,5.4577,6.3386,6.1294,9.9154,4.4967,5.4235,5.6757,4.9827,7.4878
199706,3.6742,4.3549,5.3806,6.829,6.9405,1.9355,5.3156,5.9923,5.2216,6.532,3.9137,3.2341,4.7989,4.8504,4.89,1.7154,3.6228,4.554,2.4559,4.2323,4.2945,2.2057,4.6972,4.1148,3.6779,0.69,5.53,6.87,7.76,7.83,4.58,5.83,6.07,6.12,8.85,4.65,3.56,3.06,5.1,5.73,2.72,2.88,2.31,3.97,4,-2.75,4.52,2.95,3.46,4.93,4.83,6.15,5.12,4.87,4.62,4.03,3.49,2.8,2.35,4.4,3.96,4.12,3.37,1.98,5.25,4.16,4.44,3.75,5.02,3.97,1.19,1.5,5.68,3.29,2.24,3.62,3.53,3.99,5.53,4.15,4.8271,5.8002,7.8871,6.765,4.5356,3.1664,5.09,4.9277,5.6957,7.1988,4.8485,4.2179,3.4829,4.6001,4.0364,4.6858,3.6806,1.8283,3.8261,3.0551,2.5612,4.7037,2.9842,5.3799,3.3585,5.0834,5.7559,6.8116,6.1905,5.0331,2.2184,6.1776,6.6424,4.7051,4.1949,2.68,4.4684,3.5811,5.0568,3.9081,3.1168,3.6508,2.8569,2.7677,2.5444,4.4742,3.6582,4.7472,4.7221,2.1176
199707,3.0888,4.7259,6.0287,5.7354,5.3017,5.0381,4.6687,3.5885,4.4866,4.927,4.1857,7.2621,6.2977,5.0256,5.6078,6.5397,6.182,6.2843,7.3258,5.1914,7.0134,8.6481,10.4206,5.9753,7.7451,4.08,5.3,5.3,4.99,7.48,3.47,4.47,3.26,3.61,8.1,1.71,5.08,5.21,7.05,7.66,3.86,5.17,5.89,6.52,10.72,5.03,7.13,6.71,5.9,10.7,4.38,5.6,2.88,5.96,5.16,5.89,6.07,6.96,8.6,7.73,6.62,6.95,8.47,7.59,8.73,9.36,5.23,7.19,6.58,6.02,3.65,4.24,4.82,7.21,4.14,8.08,5.33,6.27,7.03,14.81,3.8178,6.0938,6.8268,5.1722,5.7983,4.1553,4.5916,4.5225,6.3722,3.722,5.9539,5.6059,5.4985,6.4575,4.3045,7.377,5.4527,6.9458,7.2556,4.6555,6.6409,8.7519,9.1549,8.527,6.988,4.4702,5.8717,5.589,5.8969,4.3679,3.5789,6.2314,3.975,5.0701,4.4403,4.9736,4.5355,4.1359,6.0042,6.6843,6.7982,6.2423,6.4274,4.8718,7.626,5.8547,6.3439,5.108,9.0124,13.5331
199708,5.2433,4.4146,3.2674,3.0717,3.9283,3.1626,2.4431,3.4707,1.5369,3.335,1.8324,2.2841,1.1388,-0.1769,0.7639,-0.0498,-0.5603,0.449,-1.4152,-0.0134,-7.5501,-3.8574,-5.464,-4.9125,-6.226,4,2.99,2.63,4.89,4.69,3.04,3.97,1.13,2.57,3.62,2.31,0.94,1.42,0.14,1.66,2.26,-1.21,-1.59,-1.81,1.01,-1.83,-4.06,-4.51,-7.12,-7.01,3.87,4.06,3.37,2.1,2.28,0.61,0.04,-0.46,-2.47,-6.74,-6.34,-5.78,-2.76,-2.78,-3.36,-3.52,-4.41,-0.62,-1.95,-1.6,1.07,1.02,-2.5,-2.75,-2.98,-3.68,-4.63,-6.98,-7.14,-3.11,4.4887,3.8536,3.6211,3.3277,3.8667,2.5282,2.7452,2.0166,3.5375,3.2872,2.1343,1.1045,-0.0588,2.4023,1.2136,1.3826,-1.0651,-0.0849,-0.7768,-0.0209,-5.0776,-5.4417,-4.5301,-6.7646,-6.2483,5.2261,4.3294,3.3347,3.2406,4.2089,1.9979,3.0123,2.4823,3.063,2.4073,4.2831,0.7118,-0.0864,1.2467,1.5079,0.3926,-1.3939,-0.962,0.234,-0.2212,-5.7083,-5.5146,-6.6803,-7.1704,-4.8045
199709,9.9036,9.4492,9.265,7.1801,8.6558,7.0056,7.6544,6.5914,7.3217,7.4145,6.3938,6.3406,7.1229,6.3557,6.6144,4.7284,4.887,5.236,5.5007,3.609,4.446,4.9518,6.1254,5.7525,6.9095,8.62,8.44,9.2,8.56,9.87,7.61,6.73,7.32,8.38,9.84,5.17,5.82,6.74,7.15,8.88,2.05,4.15,3.85,5.73,7.79,5.51,3.8,5.51,4.13,5.62,9.67,8.71,7.75,7.32,7.6,5.56,6.23,4.07,5.31,4.92,4.13,5.73,5.19,5.23,5.55,7.06,5.94,6.02,5.83,7.76,3.64,6.49,4.78,4.25,4.55,6.24,4.63,4.5,5.8,6.47,9.1288,8.7336,7.6301,8.982,9.1929,7.8975,7.2739,7.9977,5.7858,6.3369,7.1984,7.3246,7.0744,4.4685,5.8714,6.0191,5.2228,3.153,5.8257,4.6317,7.1838,6.6027,4.9247,6.1836,3.7171,9.9106,7.6771,7.8146,8.749,9.7053,5.9109,4.0309,7.9977,8.0298,8.4529,5.2671,4.841,7.1655,5.7848,7.3427,4.0193,4.648,4.8252,4.4109,5.8344,5.4737,5.2413,4.4383,6.0925,4.1033
199710,-6.037,-4.1376,-4.6872,-1.0386,-1.6004,-6.5302,-5.308,-4.9869,-3.482,-3.2684,-6.7049,-3.7084,-4.398,-2.9904,-3.8843,-7.0715,-6.4668,-3.2329,-4.7989,-5.1111,-3.0822,-4.3639,-3.9174,-1.4186,-3.352,-5.1,-2.35,-1.71,-0.56,-2.71,-6.25,-2.47,-2.77,-1.67,-5.62,-3.78,-5.82,-4.81,-2.99,-8.48,-5.83,-4.88,-4.83,-4.27,-4.46,-6.38,-1.62,-2.84,-3.33,-4.96,-2.46,-4.41,-5.37,-4.37,-5.82,-4.03,-5.02,-5.44,-3.69,-3.32,-2.96,-4.97,-4.54,-4.71,-3.76,-4.16,-1.82,-3.09,-3.62,-3.13,-6.35,-5.29,0.01,-4.03,-1.91,-4.13,-3.03,-3.67,-2.14,-8.27,-4.3729,-1.8075,-2.2486,-2.3939,-3.9254,-6.0409,-6.1513,-3.9239,-3.5287,-3.2131,-6.4114,-4.6185,-3.5291,-3.8203,-5.6274,-6.0535,-5.76,-4.6555,-4.9127,-6.4045,-4.0077,-3.3334,-3.9034,-3.9476,-2.77,-2.8872,-1.8178,-1.6035,-3.1367,-4.489,-3.2025,-3.3271,-1.0248,-7.0085,-5.8997,-5.0631,-3.8713,-2.0404,-4.6291,-6.6409,-4.795,-4.0529,-4.5151,-5.0624,-8.0837,-2.9303,-4.0438,-2.5645,-2.8214,-4.3977
