date,xi_bear
1997-02-28,2.2860212462724176e-10
1997-03-31,0.00011906766361672328
1997-04-30,2.4641456259063885e-07
1997-05-31,2.1279027153995338e-06
1997-06-30,1.2489863231712672e-05
1997-07-31,0.9297821121446792
1997-08-31,0.9999999978269056
1997-09-30,0.9999999824326179
1997-10-31,1.0
1997-11-30,0.9989573092415667
1997-12-31,1.0
1998-01-31,1.0
1998-02-28,1.0
1998-03-31,0.9999924179257464
1998-04-30,0.9999118557921904
1998-05-31,1.0
1998-06-30,1.0
1998-07-31,0.9999999999999081
1998-08-31,1.0
1998-09-30,1.0
1998-10-31,1.0
1998-11-30,0.9953110593460066
1998-12-31,0.9999999999940264
1999-01-31,1.0
1999-02-28,0.02713455585184138
1999-03-31,1.0
1999-04-30,0.9999999999999993
1999-05-31,0.9999442577626035
1999-06-30,1.0
1999-07-31,0.025503887590338285
1999-08-31,0.9012499895462237
1999-09-30,1.0
1999-10-31,1.0
1999-11-30,0.9998995616670868
1999-12-31,0.9984984940030183
2000-01-31,1.0
2000-02-29,1.0
2000-03-31,0.9999068239538962
2000-04-30,0.9998928344008792
2000-05-31,1.0
2000-06-30,7.042202351804908e-05
2000-07-31,0.0003225530959963918
2000-08-31,0.0026914244707865976
2000-09-30,0.006267074685354942
2000-10-31,0.999906554394495
2000-11-30,0.9990322109835607
2000-12-31,1.0
2001-01-31,0.9999999999999066
2001-02-28,0.012506818135274576
2001-03-31,0.017340649739716645
2001-04-30,0.9998847207861381
2001-05-31,0.14551209053397782
2001-06-30,0.00026752197305331647
2001-07-31,0.9999875266983377
2001-08-31,0.9999459492585413
2001-09-30,1.8319622617897854e-06
2001-10-31,1.4708637989155252e-14
2001-11-30,8.715713173041547e-09
2001-12-31,3.485263902298923e-07
2002-01-31,1.8662177900280213e-06
2002-02-28,1.293381212347044e-06
2002-03-31,4.733508022674621e-07
2002-04-30,6.24370339036081e-07
2002-05-31,0.0002186661147816802
2002-06-30,7.219223025762806e-07
2002-07-31,1.5089977080595085e-05
2002-08-31,0.9978070242113226
2002-09-30,4.6326947273331744e-11
2002-10-31,6.951441838469416e-08
2002-11-30,0.0005715350580920902
2002-12-31,4.5928658508104946e-08
2003-01-31,6.43343400942471e-08
2003-02-28,9.822501477840963e-10
2003-03-31,3.3417443481552446e-10
2003-04-30,0.0027992482378380616
2003-05-31,0.0037514849834509884
2003-06-30,1.0127128046581892e-08
2003-07-31,7.775539791523784e-15
2003-08-31,5.264950283322344e-06
2003-09-30,2.8484841923841672e-08
2003-10-31,7.103754563510412e-07
2003-11-30,9.202782903051304e-09
2003-12-31,3.372117211771637e-58
2004-01-31,4.010168253395273e-20
2004-02-29,2.356217939646148e-06
2004-03-31,0.0001805980836799035
2004-04-30,1.5319141526850127e-08
2004-05-31,4.793191708269581e-06
2004-06-30,1.5859883562075248e-06
2004-07-31,5.545440137534046e-11
2004-08-31,4.008323237343985e-07
2004-09-30,1.9468631780306853e-11
2004-10-31,8.964623637805437e-08
2004-11-30,3.2577225062611217e-09
2004-12-31,2.4515070512494865e-07
2005-01-31,5.827887065092633e-06
2005-02-28,8.19871994919536e-09
2005-03-31,2.2538835551943716e-08
2005-04-30,0.0016339524401462237
2005-05-31,3.0300883483756907e-07
2005-06-30,2.2672104212371124e-08
2005-07-31,8.143496942339711e-07
2005-08-31,1.5621922635610547e-08
2005-09-30,7.932264015135046e-06
2005-10-31,0.0005181021014566292
2005-11-30,2.4740353875924416e-06
2005-12-31,4.703776206129199e-10
2006-01-31,2.5924521692138516e-16
2006-02-28,1.6644564689607937e-06
2006-03-31,5.770577582375849e-10
2006-04-30,8.172318162980224e-17
2006-05-31,5.671513970829549e-09
2006-06-30,7.129596635143959e-10
2006-07-31,1.2126843278248326e-05
2006-08-31,2.100095265111404e-09
2006-09-30,9.447555977691386e-10
2006-10-31,4.880615442434246e-21
2006-11-30,4.924759319377539e-10
2006-12-31,6.791841049993216e-07
2007-01-31,3.8630180559693143e-07
2007-02-28,1.618612053026901e-05
2007-03-31,2.767193671496492e-07
2007-04-30,4.914725307698241e-11
2007-05-31,5.513500277151808e-09
2007-06-30,5.911320302439855e-13
2007-07-31,2.5612310045548912e-06
2007-08-31,1.989027683270738e-07
2007-09-30,6.645984361877438e-06
2007-10-31,1.856062969043999e-06
2007-11-30,0.00016452772809967997
2007-12-31,0.00010477191117385133
2008-01-31,0.9996314705355155
2008-02-29,1.6512669137214262e-29
2008-03-31,3.9437043123728494e-14
2008-04-30,7.118897783614546e-17
2008-05-31,8.242759887489144e-11
2008-06-30,0.9999999999862771
2008-07-31,0.9999999999999445
2008-08-31,0.9987196809701311
2008-09-30,5.935177479708628e-10
2008-10-31,1.0
2008-11-30,0.9999999965000694
2008-12-31,1.0
2009-01-31,0.9999999970719865
2009-02-28,0.9999999999957491
2009-03-31,0.9999999858012246
2009-04-30,0.999999999999894
2009-05-31,0.9999992664133309
2009-06-30,0.9999999938808134
2009-07-31,7.19494211976657e-05
2009-08-31,0.001056276261835651
2009-09-30,0.9999999967479991
2009-10-31,0.9999999999997663
2009-11-30,0.0014192780898878413
2009-12-31,4.373765373524901e-06
2010-01-31,1.7884583038549335e-05
2010-02-28,2.022299348779066e-06
2010-03-31,8.762376733973445e-09
2010-04-30,0.00012318753234269802
2010-05-31,0.00017730158923029023
2010-06-30,0.0001410168426079483
2010-07-31,1.822068879644243e-17
